Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16713508k(3967660k free), swap 32966436k(9862712k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.479: [GC (Allocation Failure) 0.479: [DefNew: 960K->64K(960K), 0.0022560 secs] 70027K->70015K(524224K), 0.0023045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.482: [GC (Allocation Failure) 0.482: [DefNew: 960K->63K(960K), 0.0019864 secs] 70911K->70902K(524224K), 0.0020252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.487: [GC (Allocation Failure) 0.487: [DefNew: 959K->63K(960K), 0.0021346 secs] 71800K->71793K(524224K), 0.0021712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.491: [GC (Allocation Failure) 0.491: [DefNew: 959K->63K(960K), 0.0019934 secs] 72690K->72680K(524224K), 0.0020396 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.497: [GC (Allocation Failure) 0.497: [DefNew: 959K->64K(960K), 0.0021424 secs] 73576K->73570K(524224K), 0.0021910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.502: [GC (Allocation Failure) 0.502: [DefNew: 960K->64K(960K), 0.0021500 secs] 74466K->74460K(524224K), 0.0021992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.505: [GC (Allocation Failure) 0.505: [DefNew: 960K->63K(960K), 0.0020082 secs] 75356K->75349K(524224K), 0.0020431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.510: [GC (Allocation Failure) 0.510: [DefNew: 959K->64K(960K), 0.0024229 secs] 76246K->76237K(524224K), 0.0024784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.514: [GC (Allocation Failure) 0.514: [DefNew: 960K->63K(960K), 0.0018985 secs] 77135K->77128K(524224K), 0.0019332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.518: [GC (Allocation Failure) 0.518: [DefNew: 959K->63K(960K), 0.0019483 secs] 78025K->78018K(524224K), 0.0019850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.521: [GC (Allocation Failure) 0.521: [DefNew: 959K->63K(960K), 0.0021039 secs] 78914K->78906K(524224K), 0.0021501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.527: [GC (Allocation Failure) 0.527: [DefNew: 959K->63K(960K), 0.0023306 secs] 79804K->79793K(524224K), 0.0023725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.531: [GC (Allocation Failure) 0.531: [DefNew: 959K->63K(960K), 0.0021752 secs] 80689K->80683K(524224K), 0.0022155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.536: [GC (Allocation Failure) 0.536: [DefNew: 959K->63K(960K), 0.0023611 secs] 81579K->81572K(524224K), 0.0023998 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.540: [GC (Allocation Failure) 0.540: [DefNew: 959K->63K(960K), 0.0026746 secs] 82468K->82460K(524224K), 0.0027262 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.546: [GC (Allocation Failure) 0.546: [DefNew: 959K->64K(960K), 0.0025038 secs] 83356K->83351K(524224K), 0.0025588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.550: [GC (Allocation Failure) 0.550: [DefNew: 960K->63K(960K), 0.0022832 secs] 84247K->84240K(524224K), 0.0023295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.556: [GC (Allocation Failure) 0.556: [DefNew: 959K->63K(960K), 0.0019735 secs] 85136K->85129K(524224K), 0.0020104 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.559: [GC (Allocation Failure) 0.559: [DefNew: 959K->64K(960K), 0.0023159 secs] 86026K->86016K(524224K), 0.0023678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.563: [GC (Allocation Failure) 0.563: [DefNew: 960K->64K(960K), 0.0021532 secs] 86913K->86907K(524224K), 0.0021917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.566: [GC (Allocation Failure) 0.566: [DefNew: 960K->64K(960K), 0.0021945 secs] 87803K->87797K(524224K), 0.0022453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.570: [GC (Allocation Failure) 0.570: [DefNew: 960K->63K(960K), 0.0024685 secs] 88694K->88686K(524224K), 0.0025162 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.574: [GC (Allocation Failure) 0.574: [DefNew: 959K->63K(960K), 0.0031211 secs] 89582K->89578K(524224K), 0.0031828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.580: [GC (Allocation Failure) 0.580: [DefNew: 959K->63K(960K), 0.0023718 secs] 90474K->90469K(524224K), 0.0024136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.585: [GC (Allocation Failure) 0.585: [DefNew: 959K->63K(960K), 0.0022819 secs] 91365K->91359K(524224K), 0.0023294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.589: [GC (Allocation Failure) 0.589: [DefNew: 959K->64K(960K), 0.0022425 secs] 92255K->92249K(524224K), 0.0022979 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.594: [GC (Allocation Failure) 0.594: [DefNew: 960K->64K(960K), 0.0032997 secs] 93147K->93142K(524224K), 0.0033897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
